
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
253,Jon Sundvold,PG,22,SEA,73,1284,12.1,.488,.076,.148,2.0,6.0,4.0,26.4,1.1,0.0,13.5,19.4,,0.5,0.6,1.2,.044,,-1.6,-3.1,-4.7,-0.9
254,Dane Suttle,SG,22,KCK,40,469,15.3,.550,.014,.220,5.0,6.2,5.6,14.9,2.0,0.0,12.0,22.9,,0.6,0.3,0.9,.094,,0.0,-2.1,-2.0,0.0
255,Terry Teagle,SG,23,HOU,68,616,11.8,.508,.086,.140,4.9,8.7,6.8,14.5,1.0,0.4,15.6,25.3,,-0.2,0.4,0.2,.016,,-2.1,-2.9,-5.0,-0.5
256,Reggie Theus,PG,26,TOT,61,1498,14.3,.498,.067,.450,3.8,6.1,4.9,34.1,1.6,0.5,17.2,24.5,,0.7,1.0,1.8,.056,,0.0,-2.1,-2.1,0.0
257,David Thirdkill,SF,23,DET,46,291,5.9,.450,.014,.431,3.2,8.4,5.7,10.9,1.6,0.6,18.2,13.8,,-0.2,0.2,0.0,.002,,-4.4,-0.6,-4.9,-0.2
258,Isiah Thomas*,PG,22,DET,82,3007,20.9,.520,.045,.365,3.5,8.2,5.8,41.5,3.1,0.6,15.4,25.4,,5.7,3.4,9.1,.144,,4.2,0.0,4.3,4.7
259,Jim Thomas,SG,23,IND,72,1219,12.1,.504,.027,.273,5.4,8.1,6.8,14.9,2.3,0.3,13.3,17.6,,0.4,1.2,1.6,.065,,-1.8,-0.2,-2.0,0.0
260,David Thompson*,SG,29,SEA,19,349,20.0,.609,.006,.442,5.9,8.4,7.2,6.0,1.4,2.1,12.0,26.7,,0.8,0.3,1.0,.144,,0.7,-2.3,-1.5,0.0
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
261,LaSalle Thompson,C,22,KCK,80,1915,16.9,.562,.000,.350,15.2,27.3,21.1,6.3,1.7,4.3,18.6,19.0,,1.5,3.3,4.9,.122,,-1.0,2.5,1.5,1.7
262,Mychal Thompson,C,29,POR,79,2648,17.9,.561,.002,.429,10.2,20.8,15.4,15.9,1.5,2.4,17.5,20.4,,3.6,3.3,6.9,.125,,1.5,2.1,3.6,3.8
263,Paul Thompson,SF,22,CLE,82,1731,14.9,.510,.059,.225,7.6,13.1,10.2,10.5,2.0,1.3,9.1,19.3,,2.0,1.8,3.7,.104,,0.2,0.4,0.6,1.1
264,Sedale Threatt,PG,22,PHI,45,464,6.6,.462,.054,.189,4.3,5.5,4.9,12.4,1.4,0.2,17.1,17.2,,-0.3,0.4,0.1,.012,,-3.9,-1.7,-5.6,-0.4
265,Darren Tillis,C,23,GSW,72,730,9.5,.456,.008,.248,10.4,17.5,13.7,4.4,0.8,4.6,15.3,17.7,,-0.3,0.8,0.5,.030,,-4.8,0.0,-4.9,-0.5
266,Ray Tolbert,PF,25,DET,49,475,10.5,.536,.008,.372,9.7,12.3,11.0,6.7,1.2,2.3,15.6,13.5,,0.3,0.5,0.8,.081,,-1.5,0.5,-1.0,0.1
267,Andrew Toney,SG,26,PHI,78,2556,17.3,.597,.034,.413,2.6,5.9,4.3,23.7,1.3,0.5,18.3,26.3,,4.2,2.2,6.4,.120,,1.8,-2.0,-0.2,1.1
268,Linton Townes,SF,24,TOT,4,19,11.7,.500,.000,.000,0.0,5.9,3.0,7.1,2.5,5.8,11.1,19.0,,0.0,0.0,0.0,.036,,-3.7,0.9,-2.7,0.0
269,Kelly Tripucka,SF,24,DET,76,2493,16.8,.530,.013,.404,4.9,8.3,6.5,12.8,1.2,0.4,11.1,26.5,,4.1,1.5,5.7,.109,,1.2,-2.0,-0.8,0.8
270,Trent Tucker,SG,24,NYK,63,1228,13.6,.518,.036,.073,4.3,8.6,6.4,16.8,2.5,0.4,10.4,17.6,,1.2,1.8,3.0,.119,,-0.1,0.8,0.7,0.9
271,Elston Turner,SF,24,DAL,47,536,9.9,.415,.060,.227,9.1,11.0,10.1,13.7,2.4,0.0,15.0,15.1,,-0.1,0.5,0.3,.029,,-2.4,0.1,-2.3,0.0
272,Terry Tyler,SF,27,DET,82,1602,13.2,.482,.019,.191,6.7,12.5,9.5,6.3,1.8,2.0,9.4,19.9,,0.8,1.7,2.5,.074,,-1.7,-0.1,-1.9,0.0
273,Darnell Valentine,PG,24,POR,68,1893,13.8,.520,.005,.439,3.0,5.0,4.0,26.6,2.7,0.2,18.2,17.4,,2.1,1.6,3.7,.093,,-0.1,-1.1,-1.2,0.4
274,Kiki Vandeweghe,PF,25,DEN,78,2734,23.6,.618,.019,.362,3.1,11.4,7.2,13.1,0.8,1.0,7.7,27.8,,9.7,0.6,10.3,.181,,5.0,-3.1,1.9,2.7
275,Pete Verhoeven,PF,24,POR,43,327,12.0,.527,.010,.250,9.5,12.7,11.0,8.0,3.2,2.0,15.9,16.3,,0.2,0.5,0.7,.099,,-1.0,1.3,0.2,0.2
276,Jay Vincent,SF,24,DAL,61,1421,12.1,.499,.002,.371,6.6,13.5,10.1,11.0,1.0,0.4,14.4,23.1,,0.2,0.9,1.1,.038,,-2.2,-1.7,-3.9,-0.7
277,Danny Vranes,SF,25,SEA,80,2174,10.7,.559,.002,.477,7.9,12.7,10.3,8.0,1.1,1.4,16.8,13.8,,1.5,1.9,3.4,.076,,-1.1,1.0,-0.1,1.1
278,Granville Waiters,C,23,IND,78,1040,10.4,.532,.004,.214,6.8,17.3,12.1,7.7,1.1,4.6,20.0,12.9,,-0.1,1.5,1.3,.062,,-4.2,2.6,-1.7,0.1
279,Darrell Walker,PG,22,NYK,82,1324,15.9,.508,.029,.508,6.8,8.5,7.7,31.1,4.6,0.7,23.4,26.1,,-0.4,2.7,2.3,.083,,-0.4,2.4,2.0,1.3
280,Foots Walker,PG,32,NJN,34,378,9.4,.442,.056,.300,2.4,7.1,4.7,25.9,2.5,0.5,23.3,14.0,,-0.1,0.4,0.3,.043,,-3.9,-0.4,-4.2,-0.2
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
281,Wally Walker,SF,29,HOU,58,612,10.9,.490,.025,.075,4.6,11.6,8.1,12.0,1.3,0.4,11.7,18.1,,0.1,0.5,0.5,.041,,-2.5,-1.2,-3.6,-0.3
282,Bill Walton*,C,31,SDC,55,1476,17.9,.570,.004,.297,10.2,26.4,18.3,17.1,1.4,3.3,23.2,20.6,,0.7,1.6,2.3,.074,,0.3,2.8,3.1,1.9
283,Bryan Warrick,PG,24,WSB,32,254,6.9,.431,.045,.242,2.3,7.8,5.0,23.1,1.7,0.7,21.5,15.6,,-0.3,0.2,0.0,-0.008,,-5.3,-1.0,-6.4,-0.3
284,Marvin Webster,C,31,NYK,76,1290,10.7,.499,.000,.490,13.8,20.7,17.2,5.4,1.3,4.7,22.6,12.1,,-0.1,2.5,2.5,.091,,-2.8,3.9,1.1,1.0
285,Scott Wedman,SF,31,BOS,68,916,9.9,.469,.039,.105,5.3,11.7,8.6,9.8,1.4,0.4,11.0,17.6,,0.1,1.1,1.2,.065,,-2.7,-0.6,-3.2,-0.3
286,Brant Weidner,PF,23,SAS,8,38,5.4,.372,.000,.444,11.4,19.3,15.4,0.0,0.0,2.7,15.7,13.0,,0.0,0.0,0.0,-0.014,,-7.4,-3.9,-11.3,-0.1
287,Mark West,C,23,DAL,34,202,4.1,.358,.000,.524,10.9,15.5,13.2,7.7,0.2,4.2,18.8,13.1,,-0.3,0.2,-0.1,-0.023,,-5.7,0.8,-4.9,-0.1
288,Paul Westphal,SG,33,PHO,59,865,14.6,.549,.083,.454,1.1,4.8,2.9,22.4,2.2,0.4,17.0,21.5,,0.9,0.7,1.5,.086,,-1.1,-2.7,-3.9,-0.4
289,Ennis Whatley,PG,21,CHI,80,2159,13.5,.519,.004,.360,3.3,7.2,5.2,43.4,2.7,0.5,29.4,17.5,,-0.3,2.2,1.9,.043,,-1.7,-1.2,-2.9,-0.5
290,Rory White,SF,24,TOT,36,372,13.9,.488,.000,.276,11.6,11.6,11.6,5.7,1.9,0.5,11.2,23.7,,0.0,0.4,0.4,.050,,-2.0,-2.4,-4.4,-0.2
291,Jerome Whitehead,C,27,SDC,70,921,12.2,.551,.000,.364,11.6,18.5,15.1,2.7,0.9,0.7,14.7,17.3,,1.1,0.4,1.5,.080,,-1.4,-2.5,-4.0,-0.5
292,Mitchell Wiggins,SG,24,CHI,82,2123,13.7,.501,.033,.322,7.4,10.4,8.9,13.8,2.4,0.3,12.0,22.5,,1.1,2.2,3.3,.076,,-0.1,0.1,0.0,1.1
293,Jamaal Wilkes*,SF,30,LAL,75,2507,15.4,.549,.008,.265,6.3,8.8,7.7,11.3,1.3,0.9,10.4,21.1,,4.0,2.0,6.0,.115,,1.0,-0.6,0.4,1.5
294,Dominique Wilkins*,SF,24,ATL,81,2961,19.2,.531,.008,.347,9.7,12.9,11.2,7.3,2.0,1.8,11.5,27.1,,3.4,3.6,7.0,.113,,1.3,0.0,1.3,2.5
295,Jeff Wilkins,C,28,UTA,81,1734,10.9,.527,.006,.350,7.0,19.8,13.8,5.5,0.7,1.3,15.4,16.3,,0.5,1.9,2.3,.065,,-3.0,-0.5,-3.5,-0.7
296,Buck Williams,PF,23,NJN,81,3003,15.8,.556,.004,.538,13.3,24.9,19.0,5.8,1.3,2.4,17.1,18.3,,2.4,4.9,7.3,.117,,-0.3,2.0,1.7,2.8
297,Gus Williams,PG,30,SEA,80,2818,18.9,.506,.019,.303,2.7,5.5,4.1,36.2,3.2,0.5,13.5,25.2,,3.0,2.9,5.9,.101,,2.0,-0.7,1.3,2.4
298,Herb Williams,C,25,IND,69,2279,14.8,.520,.005,.343,7.5,19.3,13.4,13.7,1.2,2.7,17.3,21.7,,-0.3,3.1,2.8,.059,,-1.9,1.8,-0.1,1.1
299,Kevin Williams,SG,22,SAS,19,200,9.9,.520,.017,.552,2.2,4.7,3.5,25.2,1.8,1.0,23.4,18.2,,0.0,0.1,0.1,.026,,-2.7,-2.4,-5.1,-0.2
300,Ray Williams,SG,29,NYK,76,2230,17.4,.521,.086,.339,3.7,10.9,7.3,30.3,3.5,0.7,16.9,24.3,,2.1,4.1,6.2,.132,,1.5,2.0,3.5,3.1
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
301,Rob Williams,PG,22,DEN,79,1924,13.3,.527,.070,.311,2.9,7.8,5.3,29.0,1.9,0.1,18.1,18.3,,1.6,0.6,2.2,.056,,-0.1,-2.4,-2.5,-0.2
302,Sam Williams,PF,24,TOT,77,1434,13.2,.508,.002,.325,9.8,16.8,13.4,6.1,2.3,4.3,16.7,17.0,,0.1,2.6,2.7,.091,,-2.5,2.8,0.3,0.8
303,Sly Williams,SF,26,ATL,13,258,9.3,.391,.079,.404,8.3,13.9,11.1,9.1,2.7,0.2,11.8,25.5,,-0.5,0.3,-0.1,-0.021,,-4.1,-0.7,-4.8,-0.2
304,Bill Willoughby,SF,26,NJN,67,936,11.2,.530,.027,.244,9.0,14.6,11.8,7.7,1.1,1.5,15.6,14.4,,0.7,1.1,1.8,.092,,-1.8,0.7,-1.1,0.2
305,Michael Wilson,PG,24,WSB,6,26,-5.5,.174,.500,1.000,4.5,0.0,2.2,13.7,0.0,0.0,51.0,9.7,,-0.1,0.0,-0.1,-0.159,,-9.9,-2.2,-12.1,-0.1
306,Randy Wittman,SG,24,ATL,78,1071,9.3,.517,.016,.145,1.5,6.2,3.8,10.0,0.8,0.0,8.6,14.9,,0.6,0.6,1.2,.054,,-2.3,-1.9,-4.2,-0.6
307,Al Wood,SG,25,SEA,81,2236,14.9,.545,.022,.287,4.8,9.2,7.0,11.2,1.4,0.8,10.6,22.1,,2.7,1.7,4.4,.094,,0.2,-1.0,-0.8,0.7
308,Mike Woodson,SG,25,KCK,71,1838,15.9,.541,.010,.370,3.8,7.1,5.4,14.0,2.1,0.9,10.8,23.3,,2.6,1.6,4.2,.110,,0.5,-0.8,-0.3,0.8
309,Orlando Woolridge,SF,24,CHI,75,2544,15.9,.567,.002,.390,5.8,11.0,8.3,8.9,1.3,1.4,12.9,23.8,,3.0,2.3,5.3,.100,,0.6,-0.4,0.1,1.4
310,James Worthy*,PF,22,LAL,82,2415,16.5,.591,.007,.289,7.9,15.6,12.0,11.1,1.5,1.6,15.3,19.7,,3.8,2.7,6.5,.129,,1.1,0.8,1.9,2.4
